onset,amplitude
0.01,0
0.02,177.61
0.03,334.6
0.04,337.16
0.05,345.69
0.06,354.37
0.07,182.91
0.08,186.15
0.09,190.37
0.1,193.43
0.11,194.03
0.12,196.75
0.13,198.29
0.14,197.46
0.15,216.58
0.16,235.69
0.17,254.81
0.18,273.93
0.19,293.05
0.2,312.16
0.21,331.28
0.22,349.43
0.23,348.19
0.24,338.44
0.25,328.13
0.26,318.32
0.27,311.3
0.28,305.57
0.29,301.19
0.3,297.75
0.31,294.95
0.32,293.85
0.33,293.12
0.34,292.25
0.35,291.94
0.36,290.55
0.37,290.45
0.38,291.99
0.39,292.99
0.4,296.57
0.41,300.79
0.42,301.91
0.43,304.54
0.44,307.05
0.45,311.28
0.46,316.29
0.47,314.92
0.48,313.54
0.49,312.17
0.5,310.8
0.51,309.43
0.52,308.05
0.53,306.68
0.54,305.31
0.55,303.94
0.56,302.56
0.57,301.19
0.58,299.82
0.59,298.45
0.6,297.07
0.61,295.7
0.62,294.33
0.63,292.96
0.64,291.58
0.65,290.21
0.66,288.84
0.67,287.47
0.68,286.09
0.69,284.72
0.7,283.35
0.71,281.98
0.72,280.61
0.73,279.23
0.74,277.86
0.75,276.49
0.76,275.12
0.77,273.74
0.78,272.37
0.79,271
0.8,269.63
0.81,268.25
0.82,266.88
0.83,265.51
0.84,264.14
0.85,262.76
0.86,261.39
0.87,260.02
0.88,258.65
0.89,257.27
0.9,255.9
0.91,254.53
0.92,253.16
0.93,251.78
0.94,250.41
0.95,249.04
0.96,247.67
0.97,246.3
0.98,244.92
0.99,243.55
1,242.18
1.01,240.81
1.02,239.43
1.03,238.06
1.04,236.69
1.05,235.32
1.06,233.94
1.07,232.57
1.08,231.2
1.09,229.44
1.1,225.79
1.11,218.95
1.12,209.15
1.13,200.8
1.14,195.93
1.15,195.01
1.16,192
1.17,187.65
1.18,183.07
1.19,182.95
1.2,184.82
1.21,190.65
1.22,193.39
1.23,198.54
1.24,206.8
1.25,222.25
1.26,239.99
1.27,257.58
1.28,273.31
1.29,285.83
1.3,289.99
1.31,280.92
1.32,271.85
1.33,262.77
1.34,253.7
1.35,244.63
1.36,235.55
1.37,229.6
1.38,226.76
1.39,213.74
1.4,197.58
1.41,183.96
1.42,176.09
1.43,174.37
1.44,175.82
1.45,178.46
1.46,181.09
1.47,183.73
1.48,186.36
1.49,189
1.5,191.63
1.51,194.27
1.52,203.49
1.53,216.59
1.54,213.8
1.55,212.9
1.56,213.74
1.57,215.06
1.58,216.08
1.59,215.44
1.6,214.39
1.61,215.16
1.62,218.16
1.63,223.11
1.64,230.95
1.65,239.52
1.66,241.21
1.67,234.88
1.68,232.85
1.69,230.82
1.7,228.78
1.71,226.75
1.72,224.72
1.73,222.69
1.74,220.65
1.75,218.62
1.76,216.59
1.77,214.55
1.78,212.52
1.79,210.49
1.8,208.46
1.81,206.42
1.82,204.39
1.83,202.36
1.84,200.32
1.85,198.29
1.86,196.26
1.87,194.22
1.88,192.19
1.89,190.16
