time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0.01
0.16,0,0.01
0.17,341.18,0.11
0.18,343.11,0.18
0.19,339.01,0.2
0.2,338.85,0.21
0.21,337.54,0.22
0.22,336.64,0.22
0.23,335.45,0.21
0.24,335.5,0.2
0.25,335.07,0.2
0.26,335.41,0.18
0.27,335.68,0.15
0.28,333.48,0.09
0.29,323.02,0.04
0.3,312.57,0.03
0.31,302.11,0.03
0.32,291.65,0.03
0.33,281.19,0.03
0.34,270.73,0.03
0.35,260.27,0.04
0.36,249.82,0.04
0.37,239.36,0.04
0.38,228.9,0.04
0.39,218.44,0.03
0.4,207.98,0.01
0.41,198.24,0.05
0.42,195.59,0.09
0.43,192.84,0.11
0.44,189.62,0.12
0.45,204.85,0.12
0.46,363.24,0.11
0.47,350.72,0.09
0.48,339.7,0.05
0.49,337.47,0.01
0.5,310.21,0
0.51,218.93,0
0.52,170.19,0.02
0.53,289.06,0.09
0.54,275.33,0.13
0.55,258.87,0.14
0.56,247.63,0.14
0.57,238.62,0.13
0.58,233.87,0.09
0.59,232.84,0.04
0.6,231.81,0.02
0.61,230.79,0.03
0.62,229.76,0.04
0.63,228.73,0.03
0.64,227.7,0.03
0.65,226.67,0.02
0.66,225.64,0.02
0.67,224.62,0.02
0.68,222.03,0.07
0.69,211.42,0.11
0.7,204.01,0.13
0.71,196.9,0.13
0.72,191.95,0.11
0.73,190.5,0.1
0.74,193.65,0.11
0.75,196.19,0.12
0.76,199.49,0.12
0.77,201.39,0.11
0.78,202.89,0.11
0.79,205.88,0.1
0.8,208.58,0.09
0.81,213.63,0.07
0.82,218.85,0.04
0.83,224.06,0.02
0.84,229.28,0.02
0.85,234.5,0.03
0.86,239.72,0.03
0.87,244.93,0.02
0.88,250.15,0.02
0.89,255.37,0.02
0.9,260.59,0.01
0.91,263.59,0.07
0.92,258.8,0.11
0.93,257.31,0.12
0.94,256.95,0.12
0.95,256.09,0.13
0.96,254.18,0.12
0.97,252.4,0.12
0.98,251.23,0.11
0.99,251.43,0.11
1,252.86,0.11
1.01,254.51,0.1
1.02,258.21,0.09
1.03,262.72,0.08
1.04,269.64,0.06
1.05,278.52,0.05
1.06,285.41,0.03
1.07,290.67,0.01
1.08,290.5,0
1.09,290.34,0
1.1,290.17,0
1.11,290,0
1.12,289.84,0
1.13,289.67,0
1.14,289.51,0
1.15,289.34,0
1.16,289.17,0
1.17,289.01,0
1.18,288.84,0
1.19,288.67,0
1.2,288.51,0
1.21,288.34,0
1.22,288.17,0
1.23,288.01,0
1.24,287.84,0
1.25,287.67,0
1.26,287.51,0
1.27,287.34,0
1.28,287.17,0
1.29,287.01,0
1.3,286.84,0
1.31,286.67,0
1.32,286.51,0
1.33,286.34,0.01
1.34,286.17,0.03
1.35,286.01,0.04
1.36,285.84,0.05
1.37,285.67,0.05
1.38,285.51,0.05
1.39,285.34,0.05
1.4,285.17,0.05
1.41,285.01,0.03
1.42,284.84,0.07
1.43,283.33,0.11
1.44,278.35,0.12
1.45,270.94,0.12
1.46,261.67,0.12
1.47,253.48,0.12
1.48,245.39,0.12
1.49,235.87,0.11
1.5,228.47,0.1
1.51,225.34,0.1
1.52,226.49,0.1
1.53,229.8,0.09
1.54,233.61,0.09
1.55,234.57,0.06
1.56,236.7,0.03
1.57,244.05,0.01
1.58,251.41,0
1.59,258.76,0
1.6,266.12,0.01
1.61,273.47,0.01
1.62,276.56,0.09
1.63,271.55,0.13
1.64,266.23,0.15
1.65,261.01,0.15
1.66,251.51,0.12
1.67,239.92,0.09
1.68,232.7,0.05
1.69,230.34,0.03
1.7,227.99,0.06
1.71,225.63,0.08
1.72,223.28,0.08
1.73,220.92,0.09
1.74,218.57,0.09
1.75,216.21,0.08
1.76,213.86,0.08
1.77,211.5,0.08
1.78,209.15,0.08
