time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0.01
0.09,80.67,0.03
0.1,328.88,0.18
0.11,320.88,0.25
0.12,320.87,0.26
0.13,322.14,0.28
0.14,322.89,0.3
0.15,322.87,0.31
0.16,320.65,0.29
0.17,315.16,0.25
0.18,303.16,0.19
0.19,300.93,0.17
0.2,303.97,0.17
0.21,315.73,0.16
0.22,342.61,0.22
0.23,348.58,0.25
0.24,350.95,0.22
0.25,355.29,0.21
0.26,358.49,0.19
0.27,357.43,0.18
0.28,353.55,0.17
0.29,345.51,0.16
0.3,335.89,0.15
0.31,321.95,0.13
0.32,306,0.1
0.33,293.64,0.06
0.34,286.17,0.02
0.35,278.7,0
0.36,271.23,0.01
0.37,263.76,0.01
0.38,256.29,0.01
0.39,248.83,0.01
0.4,241.36,0.01
0.41,233.77,0.04
0.42,225.57,0.1
0.43,222.14,0.14
0.44,216.79,0.16
0.45,210.86,0.16
0.46,205.91,0.15
0.47,204.03,0.11
0.48,204.15,0.05
0.49,204.28,0.03
0.5,204.4,0.04
0.51,204.52,0.03
0.52,204.64,0.03
0.53,204.76,0.02
0.54,204.89,0.02
0.55,205.01,0.01
0.56,204.65,0.05
0.57,200.56,0.07
0.58,193.83,0.08
0.59,187.18,0.06
0.6,183.36,0.07
0.61,184.06,0.1
0.62,184.9,0.12
0.63,185.36,0.12
0.64,186.2,0.13
0.65,186.69,0.13
0.66,189.34,0.12
0.67,193.03,0.11
0.68,197.64,0.09
0.69,202.21,0.05
0.7,206.79,0.02
0.71,211.37,0.03
0.72,215.94,0.03
0.73,220.52,0.03
0.74,225.1,0.02
0.75,229.68,0.02
0.76,234.25,0.04
0.77,237.43,0.08
0.78,234.31,0.11
0.79,232.88,0.11
0.8,231.23,0.13
0.81,229.16,0.14
0.82,227.48,0.14
0.83,226.78,0.14
0.84,226.51,0.14
0.85,226.39,0.14
0.86,227.27,0.13
0.87,228.55,0.13
0.88,229.14,0.12
0.89,230.72,0.11
0.9,232.43,0.09
0.91,236.49,0.07
0.92,241.42,0.06
0.93,215.41,0.04
0.94,106.32,0.01
0.95,150.62,0
0.96,292.16,0
0.97,293.48,0
0.98,294.8,0
0.99,296.12,0
1,297.44,0
1.01,298.76,0
1.02,300.08,0
1.03,301.4,0
1.04,302.72,0
1.05,304.04,0
1.06,305.36,0
1.07,306.68,0
1.08,308,0
1.09,309.32,0.02
1.1,310.64,0.04
1.11,311.96,0.05
1.12,313.28,0.02
1.13,290.87,0.07
1.14,220.84,0.11
1.15,214.75,0.13
1.16,213.55,0.14
1.17,216.19,0.14
1.18,221.31,0.14
1.19,230.9,0.12
1.2,244.95,0.11
1.21,258.93,0.11
1.22,269.05,0.12
1.23,273.36,0.11
1.24,274.85,0.1
1.25,272.98,0.1
1.26,269.22,0.09
1.27,263.9,0.08
1.28,261.4,0.08
1.29,261.72,0.07
1.3,255.65,0.05
1.31,225.78,0.01
1.32,195.9,0
1.33,166.02,0
1.34,136.15,0.01
1.35,174.38,0.02
1.36,305.88,0.07
1.37,299.52,0.09
1.38,295.44,0.08
1.39,288.49,0.07
1.4,283.59,0.07
1.41,278.38,0.07
1.42,278.7,0.07
1.43,273.86,0.06
1.44,243.05,0.05
1.45,234.15,0.04
1.46,235.74,0.03
1.47,235.47,0.03
1.48,235.21,0.03
1.49,234.94,0.04
1.5,234.67,0.04
1.51,234.41,0.05
1.52,234.14,0.06
1.53,233.87,0.08
1.54,233.61,0.08
1.55,233.34,0.07
1.56,233.08,0.05
1.57,232.81,0.05
1.58,232.54,0.04
1.59,232.28,0.03
1.6,208.9,0.05
1.61,167.06,0.07
1.62,163.31,0.06
1.63,158.03,0.07
1.64,152.71,0.07
1.65,148.39,0.07
1.66,150.46,0.07
1.67,161.8,0.07
1.68,174.59,0.09
1.69,181.22,0.07
1.7,186.5,0.03
1.71,214.57,0.02
1.72,236.32,0
1.73,206.42,0
1.74,176.51,0
1.75,146.61,0.01
1.76,194.58,0.03
1.77,294.77,0.1
1.78,296.02,0.13
1.79,298.14,0.13
1.8,300.88,0.12
1.81,299.25,0.12
1.82,294.25,0.11
1.83,286.6,0.1
1.84,274.41,0.08
1.85,258.24,0.05
1.86,250.61,0.02
1.87,251.31,0.01
1.88,252,0
1.89,252.7,0
1.9,253.4,0
1.91,254.1,0
