onset,amplitude
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0.01
0.16,0.01
0.17,0.11
0.18,0.18
0.19,0.2
0.2,0.21
0.21,0.22
0.22,0.22
0.23,0.21
0.24,0.2
0.25,0.2
0.26,0.18
0.27,0.15
0.28,0.09
0.29,0.04
0.3,0.03
0.31,0.03
0.32,0.03
0.33,0.03
0.34,0.03
0.35,0.04
0.36,0.04
0.37,0.04
0.38,0.04
0.39,0.03
0.4,0.01
0.41,0.05
0.42,0.09
0.43,0.11
0.44,0.12
0.45,0.12
0.46,0.11
0.47,0.09
0.48,0.05
0.49,0.01
0.5,0
0.51,0
0.52,0.02
0.53,0.09
0.54,0.13
0.55,0.14
0.56,0.14
0.57,0.13
0.58,0.09
0.59,0.04
0.6,0.02
0.61,0.03
0.62,0.04
0.63,0.03
0.64,0.03
0.65,0.02
0.66,0.02
0.67,0.02
0.68,0.07
0.69,0.11
0.7,0.13
0.71,0.13
0.72,0.11
0.73,0.1
0.74,0.11
0.75,0.12
0.76,0.12
0.77,0.11
0.78,0.11
0.79,0.1
0.8,0.09
0.81,0.07
0.82,0.04
0.83,0.02
0.84,0.02
0.85,0.03
0.86,0.03
0.87,0.02
0.88,0.02
0.89,0.02
0.9,0.01
0.91,0.07
0.92,0.11
0.93,0.12
0.94,0.12
0.95,0.13
0.96,0.12
0.97,0.12
0.98,0.11
0.99,0.11
1,0.11
1.01,0.1
1.02,0.09
1.03,0.08
1.04,0.06
1.05,0.05
1.06,0.03
1.07,0.01
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0.01
1.34,0.03
1.35,0.04
1.36,0.05
1.37,0.05
1.38,0.05
1.39,0.05
1.4,0.05
1.41,0.03
1.42,0.07
1.43,0.11
1.44,0.12
1.45,0.12
1.46,0.12
1.47,0.12
1.48,0.12
1.49,0.11
1.5,0.1
1.51,0.1
1.52,0.1
1.53,0.09
1.54,0.09
1.55,0.06
1.56,0.03
1.57,0.01
1.58,0
1.59,0
1.6,0.01
1.61,0.01
1.62,0.09
1.63,0.13
1.64,0.15
1.65,0.15
1.66,0.12
1.67,0.09
1.68,0.05
1.69,0.03
1.7,0.06
1.71,0.08
1.72,0.08
1.73,0.09
1.74,0.09
1.75,0.08
1.76,0.08
1.77,0.08
1.78,0.08
1.79,0.07
1.8,0.06
1.81,0.05
1.82,0.05
1.83,0.06
1.84,0.07
1.85,0.1
1.86,0.12
1.87,0.14
1.88,0.14
1.89,0.13
1.9,0.11
1.91,0.09
1.92,0.06
1.93,0.03
1.94,0.01
1.95,0.01
1.96,0.01
1.97,0.01
1.98,0.07
1.99,0.12
2,0.13
2.01,0.12
2.02,0.12
2.03,0.12
2.04,0.13
2.05,0.12
2.06,0.1
2.07,0.06
2.08,0.02
2.09,0
2.1,0
2.11,0
2.12,0
2.13,0.02
2.14,0.03
2.15,0.02
2.16,0.04
2.17,0.09
2.18,0.12
2.19,0.12
2.2,0.13
2.21,0.13
2.22,0.13
2.23,0.13
2.24,0.11
2.25,0.11
2.26,0.12
2.27,0.11
2.28,0.07
2.29,0.01
2.3,0
2.31,0
2.32,0.01
2.33,0.02
2.34,0.08
2.35,0.11
2.36,0.1
2.37,0.08
2.38,0.06
2.39,0.03
2.4,0.02
2.41,0.02
2.42,0.03
2.43,0.03
2.44,0.02
2.45,0.02
2.46,0.01
2.47,0.02
2.48,0.05
2.49,0.06
2.5,0.08
2.51,0.1
2.52,0.11
2.53,0.12
2.54,0.12
2.55,0.11
2.56,0.1
2.57,0.09
2.58,0.06
2.59,0.03
2.6,0.02
2.61,0.03
2.62,0.02
2.63,0.02
2.64,0.02
2.65,0.01
2.66,0.01
2.67,0.01
2.68,0.01
2.69,0.05
2.7,0.06
2.71,0.06
2.72,0.05
2.73,0.05
2.74,0.04
2.75,0.04
2.76,0.04
2.77,0.03
2.78,0.03
2.79,0.03
2.8,0.02
2.81,0.01
2.82,0.01
2.83,0
2.84,0
2.85,0
2.86,0
2.87,0
2.88,0
2.89,0
2.9,0
2.91,0
2.92,0
2.93,0
2.94,0
2.95,0
2.96,0
2.97,0
2.98,0
2.99,0
3,0
3.01,0
3.02,0
3.03,0
3.04,0
3.05,0
3.06,0
3.07,0
3.08,0
3.09,0
3.1,0
3.11,0
3.12,0
3.13,0
3.14,0
3.15,0
3.16,0
3.17,0
3.18,0
3.19,0
3.2,0
3.21,0
3.22,0
3.23,0
3.24,0
3.25,0
3.26,0
3.27,0
3.28,0
3.29,0
3.3,0
3.31,0
3.32,0
3.33,0
3.34,0
3.35,0
3.36,0
3.37,0
3.38,0
3.39,0
3.4,0
3.41,0
3.42,0
3.43,0.02
3.44,0.04
3.45,0.06
3.46,0.05
3.47,0.09
3.48,0.15
3.49,0.2
3.5,0.21
3.51,0.19
3.52,0.17
3.53,0.16
3.54,0.14
3.55,0.09
3.56,0.05
3.57,0.02
3.58,0
3.59,0.01
3.6,0.02
3.61,0.09
3.62,0.12
3.63,0.13
3.64,0.13
3.65,0.1
