onset,amplitude
0.434344835,8.26486
0.66968576,5.32865
1.577128691,7.34944
2.928199472,1.32442
3.25464011,2.558
3.689884032,3.21567
4.29721545,5.69238
4.46423159,6.94006
4.836222084,4.44735
5.219600042,5.27443
5.508082466,5.36223
5.705179138,6.94622
6.320937205,6.68258
6.969179138,4.2921
7.467275257,-0.415515
8.241622816,4.72854
8.944398736,10.249
9.198718767,5.9212
9.726337937,0.0953102
10.10517914,5.28988
10.52725624,-0.248461
10.77557351,7.68114
10.93879383,7.20284
11.29939686,2.71932
12.46471401,3.50285
12.46471401,5.84427
12.68917914,8.13427
13.06065797,9.01752
13.15934932,10.249
13.58448132,4.72854
14.06923446,-2.40795
15.39777194,5.36223
15.52682987,6.94622
15.91020782,0.494696
17.22957455,0.0953102
18.34517914,-2.81341
18.34517914,3.79684
18.70614906,9.9303
18.70614906,5.02605
19.03317914,0.765468
19.12882611,6.2857
19.92974441,2.98214
19.92974441,7.34558
20.86517914,-2.12026
21.23171114,9.01752
21.35459915,9.9303
21.49504454,8.51075
21.62410247,7.42941
21.95433893,0.708036
23.17279759,9.01752
23.74596661,0.0392207
24.24321921,5.90058
24.77213,2.40062
24.96917914,6.94622
25.62239398,1.89912
26.21717914,4.3352
27.70517914,5.33141
28.45050508,8.2837
28.73898751,2.48073
28.84906633,6.94622
29.26660668,-0.223144
29.46778521,8.75228
29.55387842,8.05058
29.80060681,8.69606
31.04917914,4.06268
31.62639689,8.27611
31.76684228,7.35441
32.07944399,1.24127
32.47317914,1.98376
32.78926259,4.72854
32.96007455,7.15098
34.12539171,0.916291
35.57995229,5.86817
35.97717914,3.84908
36.88502078,10.249
37.21905306,7.5583
39.88966084,2.07065
40.08704355,6.87178
40.20471401,8.15886
40.49699226,4.41872
40.73992483,8.02513
41.65629714,6.41305
42.77717914,4.72854
43.08352598,10.249
43.14425912,9.9303
43.26952122,10.249
43.39857915,6.94006
44.00117914,5.24265
45.44087165,4.79843
45.78517914,8.81957
47.01551746,5.24265
47.91892295,3.73122
48.48917914,3.83493
48.84130754,9.06163
49.47515564,4.59421
50.85717914,4.72854
51.15670451,9.9303
51.2971499,10.249
51.69717914,3.83493
52.39143389,10.249
52.6419581,5.9212
53.01717914,-1.10866
53.64785076,1.89912
53.74654212,8.0009
53.96290393,5.84427
54.39317914,2.5177
55.96840824,4.41872
55.96840824,7.08265
56.07469124,9.9303
56.3517862,5.09645
56.76117914,5.02893
57.68117914,4.06268
58.23744815,6.96607
58.68915089,-1.10866
59.00040824,3.46072
59.12567035,7.54233
59.5621898,5.76255
59.70263519,4.72854
60.10499226,6.43639
60.80342339,2.29253
60.95238071,8.21356
61.28261717,4.41872
61.28261717,7.08265
61.55591631,5.09645
61.97345666,8.02513
61.97345666,5.32967
63.36917914,4.41872
63.88735032,5.54099
64.15305781,7.1872
64.53263995,5.20115
66.34952221,5.86817
66.75947092,3.84908
67.07831992,10.249
67.40476055,7.5583
69.12613475,4.41872
69.12613475,7.08265
69.39184225,2.98366
70.40117914,4.72854
70.50022208,8.0009
70.70517914,6.70471
70.79250033,8.0009
71.18346993,0.779325
72.16261717,5.46095
72.16261717,8.13427
72.40934556,0.779325
72.83447756,0.0953102
73.21026387,0.916291
73.44180897,3.60984
73.74517914,4.34808
74.61768936,6.39046
75.14517914,4.7614
75.52489067,6.34446
76.22517914,1.47705
76.81717914,4.23859
77.34886314,0.223144
77.71326199,0.678034
77.90684888,8.13427
78.92412901,9.01752
79.29991532,7.5583
80.87317914,6.81739
81.51237972,9.01752
81.84261618,4.96821
82.44117914,2.17361
83.1299581,4.19991
83.62517914,4.07039
85.11317914,5.86817
85.71016228,5.86817
86.03280709,3.84908
86.25296473,9.9303
86.61717914,5.23618
87.14118693,4.98709
87.42587353,0.548121
87.82021357,4.7465
89.43317914,4.41872
89.43317914,7.08265
90.08748043,5.16809
91.2376143,8.27611
91.35148894,6.00297
91.4501803,9.9303
91.60917914,5.32967
92.2321195,8.26486
92.34219832,8.05058
92.5168061,6.1952
92.66104731,10.249
92.77936322,9.9303
92.95017518,4.20395
93.0071125,6.2857
93.13617043,8.15886
93.5575066,8.20182
