onset,amplitude
0.600047041,1
0.98936396,1
1.202437642,1
1.850353301,1
2.130437642,1
6.514437642,1
6.958802809,1
7.396784343,1
8.340129186,1
8.583452261,1
8.91287427,1
9.626437642,1
10.27740257,1
10.79773961,1
11.13464848,1
11.32930694,1
11.95143334,1
12.29957251,1
12.69043764,1
14.20872279,1
14.41843764,1
14.83624944,1
14.89988778,1
15.54643764,1
16.49833321,1
16.6967351,1
16.84243764,1
17.13846007,1
17.75443764,1
18.06386316,1
18.22857416,1
18.40077203,1
18.55050931,1
19.05961605,1
19.5350319,1
19.76338125,1
20.09043764,1
20.79056801,1
21.28470102,1
21.62643764,1
22.00343995,1
22.10451261,1
22.36655285,1
22.60987592,1
23.0587905,1
23.23847523,1
24.75830859,1
24.84815095,1
25.59443764,1
26.91278149,1
27.05128847,1
27.3357893,1
27.55443764,1
27.92150766,1
28.38943665,1
29.40016327,1
29.65471664,1
30.03280326,1
30.17843764,1
31.33652777,1
31.42262671,1
31.68092351,1
32.00285866,1
32.17131309,1
32.93122977,1
33.08471048,1
33.3804416,1
35.29959143,1
36.44905322,1
36.71109346,1
36.90643764,1
37.5720828,1
37.67315546,1
37.95016942,1
38.32825604,1
39.66537795,1
39.7889112,1
39.89747073,1
40.32243764,1
41.13280326,1
41.38494813,1
41.73043764,1
42.96243764,1
43.316559,1
43.76577083,1
44.21043764,1
45.02003641,1
45.16228682,1
45.39063617,1
45.5815512,1
45.7462622,1
46.72478434,1
47.41731925,1
47.56705652,1
48.31948634,1
48.71254669,1
50.08466694,1
50.34296375,1
50.60500398,1
50.94643764,1
51.34643764,1
51.46224989,1
51.79541533,1
51.96884304,1
52.27206103,1
52.99828682,1
53.72243764,1
54.40828352,1
54.78643764,1
55.05589724,1
55.21843764,1
55.36660209,1
55.50136564,1
55.81955735,1
55.81955735,1
56.15646622,1
56.15646622,1
57.42769937,1
57.61112753,1
58.78656516,1
59.3667971,1
60.15083689,1
60.2930873,1
60.62625274,1
60.78722031,1
61.66643764,1
61.74553888,1
62.10643764,1
63.59223428,1
63.97843764,1
64.07139356,1
64.45322362,1
64.87768376,1
65.2932047,1
65.64883073,1
66.64832705,1
66.90288042,1
67.22643764,1
68.41087097,1
68.63922031,1
68.98735948,1
69.04725439,1
69.37843764,1
70.61848754,1
70.76448139,1
70.86181062,1
71.04243764,1
72.25436729,1
72.40036113,1
72.51266409,1
73.25140872,1
73.43483689,1
73.83912753,1
75.33275687,1
75.55443764,1
76.40240422,1
77.58158527,1
78.19443764,1
79.22989108,1
79.41843764,1
80.01226835,1
80.27430859,1
80.44650646,1
80.82643764,1
81.25321701,1
81.9083176,1
82.32009511,1
82.53043764,1
83.69843764,1
84.09043764,1
84.17280896,1
84.53966529,1
84.81843764,1
85.64772114,1
86.34774291,1
86.50122362,1
86.91443764,1
87.6130286,1
88.08095759,1
89.6572047,1
89.85560659,1
90.73156966,1
91.21043764,1
91.99684965,1
92.10554265,1
92.26651022,1
92.53229389,1
92.75315637,1
93.92941488,1
94.37843764,1
94.61446292,1
94.70430529,1
94.8353254,1
95.12243764,1
98.06653108,1
98.38846622,1
98.55443764,1
99.56607949,1
100.8538201,1
102.0584376,1
105.4296468,1
105.6542527,1
106.0824376,1
107.3152109,1
107.7719095,1
108.2344376,1
108.6029514,1
108.9211431,1
109.4377368,1
109.5784376,1
109.6922901,1
110.0984376,1
111.2573069,1
111.4033008,1
111.7402097,1
112.0134802,1
112.1632175,1
112.7544376,1
113.5562343,1
113.7883271,1
114.15144,1
114.6268558,1
115.7304376,1
116.366426,1
116.5086764,1
116.9691185,1
117.7658693,1
118.2264376,1
118.5332729,1
118.6418324,1
118.7728525,1
119.1172482,1
120.3823825,1
120.6219621,1
122.5205334,1
122.7563696,1
123.2024376,1
123.62216,1
123.8692265,1
124.3483858,1
124.9697955,1
125.2655266,1
125.6024376,1
125.9384376,1
126.2376004,1
126.8584376,1
127.7224376,1
128.1879285,1
128.3114797,1
128.4424999,1
128.7831522,1
129.1944376,1
129.6366546,1
129.778905,1
130.5163611,1
131.6315943,1
132.0104376,1
132.6535512,1
132.7621107,1
133.1626579,1
133.3198821,1
134.7944376,1
135.1889917,1
136.6514674,1
137.1144376,1
137.9579252,1
138.2349391,1
138.6616904,1
139.3803299,1
139.7771337,1
139.8424376,1
140.4771555,1
140.6664376,1
140.8140643,1
140.9563147,1
141.2595327,1
141.2595327,1
141.5944376,1
141.5944376,1
142.1332634,1
142.5263238,1
143.5557675,1
143.7092482,1
144.132256,1
144.3864376,1
144.521573,1
144.877199,1
145.8258447,1
145.9980426,1
146.4824376,1
147.128559,1
147.5029022,1
148.0696251,1
148.3616127,1
149.5932018,1
149.8964198,1
150.1144376,1
151.2824376,1
152.0224383,1
152.4264376,1
153.2509543,1
153.4867905,1
154.5087474,1
154.7864376,1
154.9542158,1
155.0964662,1
155.3624376,1
156.2333221,1
156.5253098,1
158.0664376,1
159.4433377,1
161.0006054,1
161.3225405,1
161.6407843,1
162.1498911,1
162.3544376,1
163.4638357,1
166.2273283,1
166.6503361,1
166.8504376,1
167.2268246,1
167.395279,1
167.5674769,1
167.6648061,1
