onset,amplitude
0.457596372,-0.35456
1.144204945,-0.28336
1.436421041,-0.15482
1.657596372,-0.54701
2.724828376,-0.55135
3.749689539,-0.12531
4.068470735,-0.44128
5.206342505,-0.32988
5.545596372,-0.20755
6.091845828,-0.098303
6.372893575,-0.28133
6.735949938,-0.040861
7.165419049,-0.22982
7.453207629,-0.16491
7.904814324,-0.41771
8.741614964,-0.031427
9.131236426,-0.17566
9.481596372,-0.13968
9.849652383,-0.24034
9.951485266,-0.30682
10.07102821,-0.3854
10.33225169,-0.35359
10.79271342,-0.36287
12.68788619,-0.32314
12.84284927,-0.25123
13.34559637,-0.30935
14.03385124,-0.21076
14.33049486,-0.048385
14.54559637,-0.43433
16.2423969,-0.47906
16.60959637,-0.20232
16.68957608,-0.26282
17.03049486,-0.1955
17.64959637,-0.24119
18.54291302,-0.26444
18.73759637,-0.515
19.74719754,-0.11957
19.74719754,-0.3763
20.15010155,-0.26666
20.34491228,-0.33174
21.24159637,-0.459
21.87900575,-0.071104
22.18257878,-0.43895
22.54756076,-0.29585
23.39359637,-0.14508
24.34559637,-0.49729
25.01811503,-0.44044
25.93759637,-0.39617
26.47053709,-0.38366
26.77759637,-0.5789
28.0678608,-0.39824
28.36924263,-0.37161
28.5440441,-0.71026
28.68870738,-0.38623
28.94559637,-0.15932
30.30379777,-0.17298
30.86436798,-0.012457
31.61179493,-0.31558
31.72029239,-0.2749
31.96742549,-0.43842
33.45625174,-0.34901
34.20545597,-0.14094
34.3742298,-0.26264
34.88055128,-0.20406
35.74250332,-0.38603
36.55359637,-0.56432
37.54221232,-0.20309
37.72959637,-0.28962
38.02442326,-0.39543
39.25406113,-0.42402
39.79654843,-0.17109
40.01759637,-0.40053
40.56205829,-0.31815
40.97796522,-0.17789
41.7150589,-0.17377
42.96880732,-0.24578
43.07730478,-0.39612
43.86089755,-0.057767
44.31359637,-0.29841
45.05244358,-0.23747
45.16696867,-0.32091
45.83603634,-0.12414
46.30016437,-0.30765
46.81854112,-0.21787
49.45704129,-0.31557
49.60396455,-0.22261
49.86842641,-0.089708
50.11359637,-0.30722
51.34941288,-0.32147
51.94298285,-0.2385
52.1075369,-0.20864
52.36159637,-0.22399
53.64959637,-0.38254
54.47984291,-0.28431
54.72079705,-0.3564
54.87359724,-0.10817
55.01464357,-0.38827
55.57759637,-0.18238
56.53676855,-0.52866
56.74556397,-0.22155
58.27944281,-0.40411
59.04159637,-0.32087
59.69578304,-0.30919
59.69578304,-0.39434
60.09541431,-0.22095
60.26584529,-0.34708
60.48159637,-0.52415
61.52430287,-0.34928
61.65947227,-0.41776
61.81814939,-0.42545
61.96507265,-0.39323
62.28830382,-0.19599
63.66938247,-0.21398
63.90445968,-0.0030989
64.01612136,-0.43039
64.32959637,-0.41323
65.97270392,-0.35216
66.52159637,-0.21559
68.12159637,-0.13217
68.87728742,-0.36028
69.00070296,-0.35594
69.14762622,-0.58753
69.72159637,-0.38991
71.11052098,-0.49324
73.76347322,-0.52703
73.86925797,-0.40424
74.19836607,-0.1898
74.4158125,-0.24102
75.91442975,-0.40855
76.19652241,-0.38197
76.74559637,-0.31759
77.81695006,-0.53169
78.12842737,-0.12798
79.45073671,-0.24021
79.59765997,-0.63405
79.85624491,-0.32782
80.75399543,-0.38409
80.90091869,-0.35939
81.4239655,-0.24605
81.52975025,-0.40992
81.72956588,-0.43524
81.92959637,-0.23931
83.06362908,-0.50167
83.48089114,-0.555
83.63369133,-0.58807
84.0914409,-0.18785
84.47359637,-0.46663
84.86131879,-0.35832
85.08464214,-0.35916
85.48159637,-0.31848
87.01815225,-0.40934
87.14156779,-0.031059
87.54559637,-0.30758
89.30682699,-0.29132
90.63359637,-0.34417
90.76430573,-0.55373
90.98175215,-0.42524
91.48129124,-0.43086
92.58498186,-0.46419
92.93759637,-0.16724
93.4430137,-0.42612
93.74861408,-0.27095
95.11206193,-0.43952
95.21784668,-0.34203
96.12378018,-0.36574
96.21781107,-0.52478
96.76159637,-0.32682
98.11359637,-0.4231
98.40402918,-0.15494
100.2353497,-0.17639
100.3940268,-0.31514
100.6467348,-0.11128
100.881812,-0.10361
102.6801527,-0.35541
102.997507,-0.31141
103.4015964,-0.37515
104.4845196,-0.16899
104.7078429,-0.21565
105.0604587,-0.14075
105.2495964,-0.24246
106.047783,-0.3316
106.1418139,-0.30938
106.2828603,-0.31243
106.4121527,-0.27514
106.9055964,-0.21947
107.6495964,-0.1634
108.1565813,-0.30486
109.4671368,-0.36742
110.6859935,-0.45105
110.9915939,-0.32183
111.1267633,-0.61502
111.5263946,-0.41085
113.5615964,-0.41676
113.6538434,-0.29782
113.7890128,-0.392
114.0652285,-0.38955
114.6294138,-0.21369
114.9615964,-0.35193
115.8097787,-0.22061
116.0977483,-0.14418
116.4503642,-0.43436
117.7775964,-0.18404
118.4415964,-0.37933
118.7012285,-0.1993
119.1008598,-0.20242
120.7946113,-0.14672
121.6408892,-0.18132
121.9935964,-0.27608
122.9396909,-0.37006
123.0513525,-0.40128
123.6175964,-0.40929
124.0841489,-0.33722
124.1723029,-0.38233
124.5954419,-0.46898
124.8895964,-0.51253
125.8589819,-0.21156
126.1775964,-0.10882
126.4815964,-0.26254
127.5221532,-0.25687
127.6780258,-0.3568
128.4831653,-0.24759
128.4831653,-0.28836
128.4831653,-0.44396
128.4831653,-0.3773
129.9230133,-0.38997
130.1228289,-0.18889
131.2930717,-0.2669
132.3861808,-0.41452
132.4978424,-0.35803
132.785812,-0.38236
133.3206127,-0.36659
134.0611059,-0.49492
134.1727676,-0.47452
134.5077526,-0.5207
135.6815964,-0.11577
136.3950427,-0.60705
136.6888892,-0.19872
136.8299356,-0.50659
136.9886127,-0.48238
137.1649206,-0.49224
137.5116595,-0.59271
138.9601489,-0.49472
139.1011952,-0.2266
139.4655649,-0.27117
139.5772266,-0.61997
140.1855964,-0.26297
141.5812599,-0.54455
141.6752908,-0.58242
142.0415964,-0.41547
142.0415964,-0.09541
143.3903033,-0.40839
143.6430114,-0.68652
143.8604578,-0.56233
144.007381,-0.3645
144.1660582,-0.35385
145.5588907,-0.25785
146.8752261,-0.32327
147.2454727,-0.34653
148.5207666,-0.35436
148.661813,-0.52401
148.8616286,-0.28671
149.8019375,-0.19812
150.1455964,-0.5647
150.6507338,-0.31018
150.979842,-0.37386
152.2335964,-0.11093
152.6606441,-0.23966
152.8839674,-0.38439
153.1307985,-0.066429
154.4514409,-0.4241
155.4975964,-0.36806
155.709104,-0.43986
155.791381,-0.45877
155.961812,-0.36833
156.3320586,-0.16188
157.6719988,-0.32476
157.8776913,-0.13306
158.8575964,-0.54101
159.6763352,-0.38216
160.9455964,-0.32044
161.0221522,-0.36841
161.2043371,-0.54204
161.3159988,-0.36266
161.6274761,-0.11135
161.8449225,-0.31084
162.3855964,-0.13861
162.933104,-0.29729
164.4015964,-0.4031
165.1369529,-0.33369
165.4383946,-0.073358
166.837104,-0.21509
167.2249814,-0.19947
168.4003675,-0.26436
168.7855964,-0.35938
169.6063642,-0.32304
169.8003029,-0.47814
170.0765186,-0.3337
170.4255964,-0.3066
171.0814737,-0.1903
171.7514438,-0.057694
171.9295964,-0.35798
172.6799988,-0.45203
172.8504298,-0.39836
172.9091991,-0.43527
173.1535964,-0.23623
173.7455964,-0.40449
173.8631957,-0.51969
174.0655964,-0.45937
175.3615964,-0.41272
175.8613521,-0.52505
176.0141522,-0.44085
176.2492295,-0.15972
176.4196604,-0.47255
176.4843067,-0.71465
176.6429838,-0.23729
177.0975964,-0.37967
177.7535964,-0.27411
177.818827,-0.37511
178.0175964,-0.2588
178.0832889,-0.4341
178.5123048,-0.24914
180.0632242,-0.36192
180.4099631,-0.1901
180.7625789,-0.40909
181.1269486,-0.1571
182.2024269,-0.43537
182.3258424,-0.32516
183.1721204,-0.32818
183.3375964,-0.30234
183.9184906,-0.078262
184.0183984,-0.4111
184.2475987,-0.17167
184.6015964,-0.11108
185.9283646,-0.44871
186.3044882,-0.26404
187.3094433,-0.34322
187.6209206,-0.25778
188.4848294,-0.28869
188.7845528,-0.11998
188.9549838,-0.37581
189.0372608,-0.53225
189.3935964,-0.30186
190.577258,-0.38587
190.7006735,-0.34154
191.0121508,-0.19694
191.2883665,-0.39727
191.7055964,-0.47113
192.4696296,-0.26967
192.85163,-0.085153
193.1375964,-0.24998
193.5139032,-0.49931
193.6655964,-0.37096
194.5658738,-0.42675
194.9215964,-0.23601
195.8529216,-0.63058
195.9935964,-0.5007
196.4288607,-0.34071
196.5228916,-0.32422
197.0255964,-0.070741
198.1135964,-0.32408
199.2407362,-0.27071
199.4699365,-0.36105
199.8871986,-0.33736
200.0047372,-0.39685
200.3514761,-0.23542
200.8255964,-0.2347
202.0095964,-0.42153
202.9260591,-0.47773
203.0024592,-0.46714
203.2669211,-0.61179
203.3962135,-0.4899
203.5313829,-0.52591
203.8839988,-0.29804
204.0720605,-0.4002
205.1947034,-0.60872
206.4175964,-0.20866
206.8696286,-0.43556
207.5855964,-0.27468
207.8922145,-0.40132
208.2095687,-0.18821
208.547995,-0.45778
209.8526735,-0.279
210.3135964,-0.47091
211.3219061,-0.34318
211.6921527,-0.30569
211.9801223,-0.28496
212.0623993,-0.52765
212.6735964,-0.36903
213.6897217,-0.36294
214.7240615,-0.30606
214.8651078,-0.25747
215.0825542,-0.10581
215.43517,-0.22045
216.2183338,-0.32191
216.3358724,-0.61398
216.7215964,-0.29994
217.3535964,-0.21485
217.7463357,-0.73708
218.0815964,-0.21273
218.8100601,-0.23323
219.2815964,-0.28119
219.7215964,-0.35021
220.1071957,-0.73309
220.2717498,-0.35003
220.3481499,-0.36125
220.5538424,-0.22924
221.8115055,-0.14567
222.3055964,-0.12328
223.7135964,-0.22549
224.1355654,-0.30743
224.4895964,-0.43501
225.3932285,-0.22163
225.7575982,-0.10039
225.9695964,-0.4967
227.2366412,-0.43235
227.4893492,-0.35441
227.8831035,-0.35935
229.0643665,-0.34004
229.8577522,-0.27063
230.4655964,-0.30768
231.2265181,-0.27883
231.6026417,-0.17753
231.9846421,-0.12585
233.2423053,-0.36898
233.5935964,-0.3957
234.3354143,-0.67303
234.6415964,-0.45375
235.0823338,-0.47481
235.0823338,-0.35703
235.5215964,-0.33417
235.9375964,-0.090163
236.6867358,-0.62279
237.0095964,-0.61803
237.6681831,-0.28632
237.7915987,-0.33932
237.9972912,-0.41891
238.4086764,-0.33913
238.7547025,-0.49018
239.81255,-0.21354
239.9418424,-0.36884
240.3055964,-0.084365
240.8997821,-0.43772
240.9820591,-0.53619
241.4463366,-0.13594
241.9215964,-0.12046
243.1069496,-0.38581
243.1069496,-0.25458
243.577104,-0.46446
244.5996899,-0.079892
244.7818747,-0.26434
245.4815964,-0.29416
245.9043685,-0.45482
247.1775964,-0.3396
248.1133815,-0.26201
248.7598439,-0.19039
250.3690413,-0.49269
251.0390114,-0.27173
251.1447961,-0.40394
251.5267966,-0.38955
252.2555359,-0.32299
252.5199978,-0.25963
253.1311986,-0.65721
253.3251373,-0.41705
253.4015374,-0.43381
253.6777531,-0.24188
255.5550446,-0.58632
256.448338,-0.31855
256.7855964,-0.19986
257.2655964,-0.45498
257.6472318,-0.43061
257.8572561,-0.07605
258.2157488,-0.29534
259.3911349,-0.21098
259.9318125,-0.48078
260.3615964,-0.28618
262.3446706,-0.51892
262.6620249,-0.17304
262.9323637,-0.12756
263.3496257,-0.38636
264.3134423,-0.22346
264.6719351,-0.32011
265.0304278,-0.29577
265.6415964,-0.3228
266.2704602,-0.44783
266.8170147,-0.10429
267.3585181,-0.33281
268.2047961,-0.55884
268.6808275,-0.31915
268.8575964,-0.42528
269.5506132,-0.24675
270.2969833,-0.2707
270.8575964,-0.37523
272.8283048,-0.35914
273.903783,-0.26865
274.1271064,-0.13832
274.4503376,-0.14899
275.0123029,-0.33782
275.6822729,-0.31121
275.846827,-0.34139
276.2523352,-0.31848
276.693105,-0.37347
276.9055964,-0.47045
277.8097217,-0.43541
278.1329529,-0.30748
278.2211069,-0.37122
278.6148612,-0.27562
280.3935964,-0.44028
281.2780458,-0.44111
281.5542615,-0.43357
281.6975964,-0.2809
282.1595853,-0.33086
282.5533397,-0.40301
283.3322059,-0.45445
283.6201755,-0.313
283.9904221,-0.17653
283.9904221,-0.30145
285.0776542,-0.075664
285.2815964,-0.18089
285.6242087,-0.45264
285.8827937,-0.43764
286.4575964,-0.24646
286.4575964,-0.22151
287.9455964,-0.4272
288.5795359,-0.57117
288.8557517,-0.38394
289.0967058,-0.36554
289.2655964,-0.34701
290.5774718,-0.072158
290.8415964,-0.46014
291.6235654,-0.23821
292.2415964,-0.20748
293.9775964,-0.45418
295.3750418,-0.019179
295.4984573,-0.28001
295.9695964,-0.36052
